GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
foxandhounds,hu.nye.progtech.foxandhounds.service.input,UserInputReader,24,0,0,0,10,0,3,0,3,0
foxandhounds,hu.nye.progtech.foxandhounds.service.util,MapUtil,81,0,8,0,18,0,8,0,4,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.validation.reader.impl,BufferedReaderMapReader,30,0,2,0,10,0,3,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.validation.impl,MapValidatorComposer,22,0,2,0,7,0,3,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.validation.impl,HoundCountValidator,54,0,8,0,13,0,6,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.validation.impl,HoundPositionValidatior,35,0,4,0,8,0,4,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.validation.impl,FoxPositionValidator,28,0,2,0,7,0,3,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.validation.impl,FoxCountValidator,49,0,8,0,13,0,6,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.game,GameStepPerformer,18,0,0,0,7,0,2,0,2,0
foxandhounds,hu.nye.progtech.foxandhounds.service.game,GameController,35,0,6,0,9,0,6,0,3,0
foxandhounds,hu.nye.progtech.foxandhounds.service.command.impl,ExitCommand,22,0,0,0,8,0,4,0,4,0
foxandhounds,hu.nye.progtech.foxandhounds.service.command.impl,PrintCommand,24,0,0,0,8,0,4,0,4,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map.parser,MapParser,84,0,6,0,19,0,7,0,4,0
foxandhounds,hu.nye.progtech.foxandhounds.service.map,MapReaderFacade,62,0,0,0,21,0,3,0,3,0
foxandhounds,hu.nye.progtech.foxandhounds.ui,MapPrinter,213,0,16,0,44,0,20,0,12,0
foxandhounds,hu.nye.progtech.foxandhounds.service.exception,MapValidationException,4,0,0,0,2,0,1,0,1,0
foxandhounds,hu.nye.progtech.foxandhounds.service.exception,MapParseException,4,0,0,0,2,0,1,0,1,0
foxandhounds,hu.nye.progtech.foxandhounds.service.exception,MapReadException,4,0,0,0,2,0,1,0,1,0
foxandhounds,hu.nye.progtech.foxandhounds.service.command,InputHandler,26,0,4,0,8,0,4,0,2,0
